Title,Date Published,Category,Summary
Web Scraper 1.29.66 release - Updated Link Selector,"July 07, 2023","web scraper, crawling, web scraping",Hey there! We've got some major news to share with you that will up your scraping game. We're thrilled to introduce the latest and greatest version of Web Scraper. Take your experience to a new level with the newly updated Link Selector and more.
Web Scraper 1.29.60 release,"May 10, 2023","web scraper, crawling, extension, web scraping","It's time for our latest feature release article, and we can't wait to show you what we've been working on!"
"Extending Web Scraper Cloud with Patterns, a data app platform","October 25, 2022","Web Scraper Cloud, Patterns, data visualisation","Below, we’ll describe whatPatternsis and walk through the set up for an app in Patterns that uses Web Scraper Cloud to acquire data and scan for product price differences on e-commerce websites. This app is a simple boilerplate template that can be extended to provide a more advances functionality."
Web Scraper 0.6.5 release,"September 09, 2022","web scraping, release","For the last few months, we have been working towards the Web Scraper 0.6.5 release and finally, it is here!"
A Quick Guide to CSS and jQuery Selectors for Web Scraper,"June 28, 2022","JQuery selectors, web scraper, Scraping public data, scraper, CSS selectors","Selectors when it comes to CSS and jQuery refer to code you can use to interact with specific elements in the DOM. They are particularly useful when you want to style or act upon certain elements of the document without altering other elements. Through a careful use of selectors, you can manipulate a page exactly as intended or isolate the specific data you’re looking to scrape."
Data Analysis using Amazon Athena,"May 02, 2022","data analysis, web scraper, amazon athena","Amazon Athena lets you use SQL to interactively query any data you have within an Amazon S3 Bucket. With Web Scraper Cloud, you can automatically sync web scraping job results to an Amazon S3 Bucket where you can then use Athena to quickly query this data with little additional overhead. In this article, we’re going to guide you through syncing Web Scraper Cloud with an S3 bucket and using Athena to generate and perform calculations on table data. While we’re covering a specific use case, you can adapt this same process to any other data set to gather insights."
Headless Scraping with Cheerio,"March 21, 2022","web scraper, cheerio, web scraping, headless","Cheerio is a node package that allows you to easily parse and extract elements from markup. Unlike a browser, Cheerio doesn’t produce a visual rendering, load external resources, execute Javascript code, or apply CSS. As a result, it’s much faster than other solutions when it comes to scraping web pages for valuable data."
Scraping public data. Is it legal?,"March 03, 2022","web scraper, GDPR, data extraction, linkedin, Scraping public data, web scraping, facebook","We’ve all been hearing about the ongoing cases of companies failing lawsuits against web scraping activities. Worth mentioning are the cases of LinkedIn vs. HiQ on public data scraping and the case of Facebook Inc. vs. BrandTotal Ltd. on scraping data from Facebook. What is more interesting is that in one case it was ruled in favour of the data scraper, but in the other - of the company whose platform is being scraped. Seeing such cases with different outcomes raises questions, especially due to the recent General Data Protection Regulation (GDPR), on how lawful web scraping of publicly available data actually is?"
Web Scraper 0.6.0 - Pagination Selector and More!,"September 01, 2021","Feature, Web Scraper Cloud, Tutorial, Pagination, release","The moment has come that we are ready to release the most requested feature of all time! Creating pagination correctly has been one of the most frequently reported problems; however, that is about to change. The pagination selector is here and so are other additional updates that will make scraping with Web Scraper easier."
Most Frequently Asked Questions Answered.,"August 02, 2021",Guide,"For discovery and greater understanding, questions are a must. Therefore, we have collected the most frequently asked questions by the public about different web scraping topics."
Automatized Crypto Visualization with the New Web Scraper Cloud Data Export Feature,"June 14, 2021","Google, Google Sheets, Feature, Visualization, Web Scraper Cloud, release","Most people could agree that observing a picture, a simple graph, or a pie chart is easier and more efficient than scrolling through blocks of text or trying to parse out useful insights from looking at numerous columns in a spreadsheet. This common knowledge is the basis of why visualization is so important."
Why Should You Scrape Customer Reviews?,"June 01, 2021","Analysis, Data","Just like a vehicle tire leaves an imprint in the mud which can be washed away only by a great storm or rainfall, an impression leaves an impact on a product which then becomes the formatting foundation of an opinion that can not be altered easily. For this simple reason, creating an interesting, positive, and captivating impression on your customers will go a long way for your business's success and overall reputation."
Brief History of Web Scraping,"May 14, 2021","Data, web scraping","Web scraping is becoming a more widely known term. Most associate it with web data extraction, the most efficient and the simplest way of copying large chunks of information online; however, did you know that web scraping was born for a completely different purpose and it took almost two decades for it to transform into web scraping we are familiar with now?"
Web Scraper Cloud Data Quality and Notification Feature,"April 30, 2021","Feature, Web Scraper Cloud, Update, release","With constant development process and continuous growth, we are happy to have released a new notification system as well as a data quality feature to allow further automatization optionality."
The Ultimate Web Scraping Guide.,"March 15, 2021",web scraping,"It is no lie that data is power in many ways. For different reasons and applications, different information available online can be used for gaining an advantage in various spheres of life, especially in business."
Fast-track your online Shopify business,"February 17, 2021","Data, E-commerce, web scraping","Nowadays, with almost everything being available online - many are looking for ways to start a new eCommerce business or automate an existing one."
Extracting Data at Scale Using Web Scraper Cloud.,"November 24, 2020","Big Data, Data, Web Scraper Cloud","Data nowadays can be the driving fuel of a company. With the huge increase in technology and data, it has become more important than ever to retrieve, transform, and store that data correctly and effectively."
